id,countryId,mainSiteId,type,typeEn,name,nameEn,municipality,municipalityEn,region,regionEn,postCode,addressNomenclature,x,y,servingDays,servingOfficeId,servingHubOfficeId
100999999,100,0,,,<<< N O T   D E F I N E D >>>,<<< N O T   D E F I N E D >>>,-,-,-,-,,2,0.0,0.0,1111110,2,2
14,100,0,s.,s.,ABLANITSA,ABLANITSA,HADZHIDIMOVO,HADZHIDIMOVO,BLAGOEVGRAD,BLAGOEVGRAD,2932,0,23.934398,41.536921,1111100,130,13
28,100,0,s.,s.,ABLANITSA,ABLANITSA,LOVECH,LOVECH,LOVECH,LOVECH,5574,0,24.693866,43.040249,1010100,25,11
881,100,0,s.,s.,ABLANITSA,ABLANITSA,VELINGRAD,VELINGRAD,PAZARDZHIK,PAZARDZHIK,4645,0,23.861914,42.009569,0101000,184,1
31,100,0,s.,s.,ABRIT,ABRIT,KRUSHARI,KRUSHARI,DOBRICH,DOBRICH,9407,0,27.795803,43.90785,0101000,128,4
103,100,0,s.,s.,AGATOVO,AGATOVO,SEVLIEVO,SEVLIEVO,GABROVO,GABROVO,5431,0,25.00203,43.137614,0101000,33,11
85010,100,0,s.,s.,AGLEN,AGLEN,LUKOVIT,LUKOVIT,LOVECH,LOVECH,5791,0,24.314943,43.201151,1010100,12,11
833,100,0,gr.,gr.,AHELOY,AHELOY,POMORIE,POMORIE,BURGAS,BURGAS,8217,2,27.649498,42.645702,1111110,3,3
847,100,0,s.,s.,AHMATOVO,AHMATOVO,SADOVO,SADOVO,PLOVDIV,PLOVDIV,4128,0,25.051541,42.110708,1010100,17,1
864,100,0,s.,s.,AHRYANSKO,AHRYANSKO,ARDINO,ARDINO,KARDZHALI,KARDZHALI,6761,0,25.108781,41.600326,1010100,32,5
878,100,0,gr.,gr.,AHTOPOL,AHTOPOL,TSAREVO,TSAREVO,BURGAS,BURGAS,8280,2,27.937604,42.099414,1111100,3,3
165,100,0,s.,s.,AKANDZHIEVO,AKANDZHIEVO,BELOVO,BELOVO,PAZARDZHIK,PAZARDZHIK,4483,0,24.044226,42.249537,0101000,184,1
179,100,0,s.,s.,AKATSIEVO,AKATSIEVO,VIDIN,VIDIN,VIDIN,VIDIN,3727,0,22.806708,44.016213,0101000,113,20
182,100,0,gr.,gr.,AKSAKOVO,AKSAKOVO,AKSAKOVO,AKSAKOVO,VARNA,VARNA,9154,0,27.818661,43.256366,1111110,4,4
196,100,0,s.,s.,ALAMOVTSI,ALAMOVTSI,ZLATOGRAD,ZLATOGRAD,SMOLYAN,SMOLYAN,4984,0,24.997908,41.392711,1010100,147,1
206,100,0,s.,s.,ALBANTSI,ALBANTSI,DZHEBEL,DZHEBEL,KARDZHALI,KARDZHALI,6850,0,25.270636,41.495091,0101000,32,5
99958,100,0,k.k.,k.k.,ALBENA,ALBENA,BALCHIK,BALCHIK,DOBRICH,DOBRICH,9620,0,28.074341,43.365608,1111110,4,4
223,100,0,s.,s.,ALDOMIROVTSI,ALDOMIROVTSI,SLIVNITSA,SLIVNITSA,SOFIA,SOFIA,2222,0,22.989472,42.847285,1010100,142,142
254,100,0,s.,s.,ALEKO KONSTANTINOVO,ALEKO KONSTANTINOVO,PAZARDZHIK,PAZARDZHIK,PAZARDZHIK,PAZARDZHIK,4411,0,24.289034,42.145158,0101000,184,1
237,100,0,s.,s.,ALEKOVO,ALEKOVO,SVISHTOV,SVISHTOV,VELIKO TARNOVO,VELIKO TARNOVO,5288,0,25.419506,43.46624,1010100,250,11
240,100,0,s.,s.,ALEKOVO,ALEKOVO,ALFATAR,ALFATAR,SILISTRA,SILISTRA,7555,0,27.343389,43.845376,0101000,24,10
360,100,0,s.,s.,ALEKSANDAR STAMBOLIYSKI,ALEKSANDAR STAMBOLIYSKI,GENERAL TOSHEVO,GENERAL TOSHEVO,DOBRICH,DOBRICH,9565,0,28.357803,43.685766,1010100,128,4
268,100,0,s.,s.,ALEKSANDRIA,ALEKSANDRIA,KRUSHARI,KRUSHARI,DOBRICH,DOBRICH,9404,0,27.75118,43.885401,0101000,128,4
271,100,0,s.,s.,ALEKSANDROVO,ALEKSANDROVO,POMORIE,POMORIE,BURGAS,BURGAS,8211,0,27.596504,42.697223,1010100,3,3
285,100,0,s.,s.,ALEKSANDROVO,ALEKSANDROVO,SVISHTOV,SVISHTOV,VELIKO TARNOVO,VELIKO TARNOVO,5289,0,25.398206,43.44916,1010100,250,11
299,100,0,s.,s.,ALEKSANDROVO,ALEKSANDROVO,LOVECH,LOVECH,LOVECH,LOVECH,5560,0,24.943343,43.263841,0101000,25,11
309,100,0,s.,s.,ALEKSANDROVO,ALEKSANDROVO,PAVEL BANYA,PAVEL BANYA,STARA ZAGORA,STARA ZAGORA,6154,0,25.092049,42.594642,1010100,304,1
312,100,0,s.,s.,ALEKSANDROVO,ALEKSANDROVO,TARGOVISHTE,TARGOVISHTE,TARGOVISHTE,TARGOVISHTE,7761,0,26.423547,43.227826,1010100,16,11
326,100,0,s.,s.,ALEKSANDROVO,ALEKSANDROVO,HASKOVO,HASKOVO,HASKOVO,HASKOVO,6351,0,25.725345,41.982863,0101000,42,5
330,100,0,s.,s.,ALEKSANDROVO,ALEKSANDROVO,SMYADOVO,SMYADOVO,SHUMEN,SHUMEN,9829,0,26.972298,42.991166,0101000,8,11
343,100,0,s.,s.,ALEKSANDROVO,ALEKSANDROVO,STRALDZHA,STRALDZHA,YAMBOL,YAMBOL,8653,0,26.88102,42.32427,0101000,73,5
83421,100,0,s.,s.,ALENDAROVA,ALENDAROVA,VELINGRAD,VELINGRAD,PAZARDZHIK,PAZARDZHIK,4621,0,23.881152,42.019983,1010100,184,1
415,100,0,gr.,gr.,ALFATAR,ALFATAR,ALFATAR,ALFATAR,SILISTRA,SILISTRA,7570,2,27.290692,43.945592,1111100,24,10
