id,countryId,mainSiteId,type,typeEn,name,nameEn,municipality,municipalityEn,region,regionEn,postCode,addressNomenclature,x,y,servingDays,servingOfficeId,servingHubOfficeId
642172999,642,0,s.,s.,MACESU DE JOS,MACESU DE JOS,COM. MACESU DE JOS,COM. MACESU DE JOS,DOLJ,DOLJ,207370,0,23.711134,43.878936,1111110,914,914
642173022,642,0,s.,s.,MACESU DE SUS,MACESU DE SUS,COM. MACESU DE SUS,COM. MACESU DE SUS,DOLJ,DOLJ,207375,0,23.711263,43.916672,1111110,914,914
642188715,642,0,s.,s.,MACEU,MACEU,COM. BRETEA ROMANA,COM. BRETEA ROMANA,HUNEDOARA,HUNEDOARA,337122,0,22.979665,45.670067,1111100,915,901
642219787,642,0,s.,s.,MACICASESTI,MACICASESTI,COM. SAULIA,COM. SAULIA,MURES,MURES,547592,0,24.245546,46.623665,0101000,933,901
642157029,642,0,s.,s.,MACICASU,MACICASU,COM. CHINTENI,COM. CHINTENI,CLUJ,CLUJ,407208,0,23.568546,46.890397,0101000,909,909
642259749,642,0,or.,or.,MACIN,MACIN,OR. MACIN,OR. MACIN,TULCEA,TULCEA,825300,0,28.134154,45.247359,1111100,945,926
642151895,642,0,s.,s.,MACIOVA,MACIOVA,COM. CONSTANTIN DAICOVICIU,COM. CONSTANTIN DAICOVICIU,CARAS-SEVERIN,CARAS-SEVERIN,327092,0,22.204462,45.521551,0101000,928,934
642176022,642,0,s.,s.,MACISENI,MACISENI,COM. CORNI,COM. CORNI,GALATI,GALATI,807076,0,27.753546,45.855833,1001000,956,908
642271156,642,0,s.,s.,MACIUCENI,MACIUCENI,COM. MACIUCA,COM. MACIUCA,VALCEA,VALCEA,247349,0,24.019427,44.760007,1111100,927,901
642152008,642,0,s.,s.,MACOVISTE,MACOVISTE,COM. CIUCHICI,COM. CIUCHICI,CARAS-SEVERIN,CARAS-SEVERIN,327081,0,21.655801,44.939196,0101000,928,934
642152151,642,0,s.,s.,MACOVISTE,MACOVISTE,COM. CORNEA,COM. CORNEA,CARAS-SEVERIN,CARAS-SEVERIN,327108,0,22.327534,45.028874,1001000,928,934
642265764,642,0,s.,s.,MACRESTI,MACRESTI,COM. REBRICEA,COM. REBRICEA,VASLUI,VASLUI,737459,0,27.536697,46.891965,1001000,946,904
642267133,642,0,s.,s.,MACRESTI,MACRESTI,COM. ZAPODENI,COM. ZAPODENI,VASLUI,VASLUI,737631,0,27.593412,46.810647,1111100,946,904
642148888,642,0,s.,s.,MACRINA,MACRINA,COM. PUIESTI,COM. PUIESTI,BUZAU,BUZAU,127498,0,27.196409,45.387787,1111110,908,908
642187905,642,0,s.,s.,MADA,MADA,COM. BALSA,COM. BALSA,HUNEDOARA,HUNEDOARA,337021,0,23.139294,45.989513,1001000,915,901
642130023,642,0,s.,s.,MADARAS,MADARAS,COM. MADARAS,COM. MADARAS,BIHOR,BIHOR,417330,0,21.679663,46.829747,1111110,921,921
642184255,642,0,s.,s.,MADARAS,MADARAS,COM. MADARAS,COM. MADARAS,HARGHITA,HARGHITA,537071,0,25.748501,46.493692,1111110,919,907
642215441,642,0,s.,s.,MADARAS,MADARAS,COM. MADARAS,COM. MADARAS,MURES,MURES,547071,0,24.433808,46.605428,0101000,933,901
642236893,642,0,s.,s.,MADARAS,MADARAS,OR. ARDUD,OR. ARDUD,SATU MARE,SATU MARE,447024,0,22.852156,47.685029,1111100,929,901
642217756,642,0,s.,s.,MADARASENI,MADARASENI,COM. ICLANZEL,COM. ICLANZEL,MURES,MURES,547349,0,24.256877,46.50326,0101000,933,901
642197786,642,0,s.,s.,MADARJAC,MADARJAC,COM. MADARJAC,COM. MADARJAC,IASI,IASI,707290,0,27.26182,47.049943,1000000,918,918
642195836,642,0,s.,s.,MADARJESTI,MADARJESTI,COM. BALTATI,COM. BALTATI,IASI,IASI,707028,0,27.14904,47.216592,1010000,918,918
642221689,642,0,s.,s.,MADEI,MADEI,COM. BORCA,COM. BORCA,NEAMT,NEAMT,617077,0,25.752543,47.204655,1111100,922,904
642109672,642,0,s.,s.,MADERAT,MADERAT,OR. PANCOTA,OR. PANCOTA,ARAD,ARAD,315601,0,21.712257,46.299158,1111100,903,903
642110275,642,0,s.,s.,MADRIGESTI,MADRIGESTI,COM. BRAZII,COM. BRAZII,ARAD,ARAD,317063,0,22.30387,46.203193,1111100,903,903
642269075,642,0,s.,s.,MADULARI,MADULARI,COM. CERNISOARA,COM. CERNISOARA,VALCEA,VALCEA,247098,0,23.992607,45.053195,1111100,927,901
642271218,642,0,s.,s.,MADULARI,MADULARI,COM. MADULARI,COM. MADULARI,VALCEA,VALCEA,247360,0,24.095629,44.687155,1111110,941,914
642242015,642,0,s.,s.,MAERISTE,MAERISTE,COM. MAERISTE,COM. MAERISTE,SALAJ,SALAJ,457235,0,22.793842,47.325511,1111100,947,901
642245569,642,0,s.,s.,MAG,MAG,OR. SALISTE,OR. SALISTE,SIBIU,SIBIU,557232,0,23.955607,45.819477,1111110,901,901
642124944,642,0,s.,s.,MAGAZIA,MAGAZIA,COM. RACHITOASA,COM. RACHITOASA,BACAU,BACAU,607502,0,27.343621,46.525938,1001000,904,904
642222212,642,0,s.,s.,MAGAZIA,MAGAZIA,COM. CRACAOANI,COM. CRACAOANI,NEAMT,NEAMT,617147,0,26.261666,47.103139,0100100,922,904
642130078,642,0,s.,s.,MAGESTI,MAGESTI,COM. MAGESTI,COM. MAGESTI,BIHOR,BIHOR,417335,0,22.450772,47.010056,1111100,921,921
642140050,642,0,s.,s.,MAGHERA,MAGHERA,COM. VARFU CAMPULUI,COM. VARFU CAMPULUI,BOTOSANI,BOTOSANI,717453,0,26.302611,47.861801,1010100,953,904
642218101,642,0,s.,s.,MAGHERANI,MAGHERANI,COM. MAGHERANI,COM. MAGHERANI,MURES,MURES,547385,0,24.90716,46.563759,1010100,933,901
642181807,642,0,s.,s.,MAGHERESTI,MAGHERESTI,COM. SACELU,COM. SACELU,GORJ,GORJ,217414,0,23.524005,45.090007,1111110,943,914
642210857,642,0,s.,s.,MAGHERU,MAGHERU,COM. BREZNITA-OCOL,COM. BREZNITA-OCOL,MEHEDINTI,MEHEDINTI,227072,0,22.631024,44.65467,1111110,938,914
642164693,642,0,s.,s.,MAGHERUS,MAGHERUS,COM. OZUN,COM. OZUN,COVASNA,COVASNA,527136,0,25.924353,45.78787,0101000,930,907
642183678,642,0,s.,s.,MAGHERUS,MAGHERUS,MUN. TOPLITA,MUN. TOPLITA,HARGHITA,HARGHITA,535703,0,25.346406,46.920102,1111110,948,901
642218487,642,0,s.,s.,MAGHERUS,MAGHERUS,COM. NADES,COM. NADES,MURES,MURES,547431,0,24.688501,46.321541,1111100,949,901
642106191,642,0,s.,s.,MAGHIERAT,MAGHIERAT,COM. OHABA,COM. OHABA,ALBA,ALBA,517532,0,23.816649,46.052279,1111100,902,901
642101259,642,0,s.,s.,MAGINA,MAGINA,MUN. AIUD,MUN. AIUD,ALBA,ALBA,515207,0,23.654539,46.341599,1111100,902,901
642123396,642,0,s.,s.,MAGIRESTI,MAGIRESTI,COM. MAGIRESTI,COM. MAGIRESTI,BACAU,BACAU,607300,0,26.545702,46.510992,1111100,904,904
642123680,642,0,s.,s.,MAGLA,MAGLA,COM. NEGRI,COM. NEGRI,BACAU,BACAU,607348,0,26.959497,46.697421,0010100,904,904
642173040,642,0,s.,s.,MAGLAVIT,MAGLAVIT,COM. MAGLAVIT,COM. MAGLAVIT,DOLJ,DOLJ,207360,0,23.098839,44.033427,1111110,914,914
642157127,642,0,s.,s.,MAGOAJA,MAGOAJA,COM. CHIUIESTI,COM. CHIUIESTI,CLUJ,CLUJ,407218,0,23.861758,47.347876,1111100,909,909
642235921,642,0,s.,s.,MAGULA,MAGULA,COM. TOMSANI,COM. TOMSANI,PRAHOVA,PRAHOVA,107617,0,26.30393,44.928872,1111110,924,924
642112732,642,0,s.,s.,MAGULICEA,MAGULICEA,COM. VARFURILE,COM. VARFURILE,ARAD,ARAD,317394,0,22.541554,46.329472,1111100,903,903
642103627,642,0,s.,s.,MAGURA,MAGURA,COM. BUCIUM,COM. BUCIUM,ALBA,ALBA,517184,0,23.135848,46.247021,0010000,902,901
642104428,642,0,s.,s.,MAGURA,MAGURA,COM. GALDA DE JOS,COM. GALDA DE JOS,ALBA,ALBA,517291,0,23.542282,46.233989,1111110,902,901
642120420,642,0,s.,s.,MAGURA,MAGURA,COM. MAGURA,COM. MAGURA,BACAU,BACAU,607305,0,26.8605,46.561628,1111110,904,904
642130390,642,0,s.,s.,MAGURA,MAGURA,COM. PIETROASA,COM. PIETROASA,BIHOR,BIHOR,417371,0,22.553449,46.553803,1111100,921,921
